Pokedex Number,Pokemon Name,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count
522,Blitzle,NULL,NULL,0.8,29.8,Electric,NULL,50.0,50.0,70,Black,45,60,32,50,32,76,295,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,NULL,20
523,Zebstrika,NULL,NULL,1.6,79.5,Electric,NULL,50.0,50.0,70,Black,75,100,63,80,63,116,497,0,0,0,0,0,2,2,75,Medium Fast,1000000,Field,NULL,20
524,Roggenrola,NULL,NULL,0.4,18.0,Rock,NULL,50.0,50.0,50,Black,55,75,85,25,25,15,280,0,0,1,0,0,0,1,255,Medium Slow,1059860,Mineral,NULL,15
525,Boldore,NULL,NULL,0.9,102.0,Rock,NULL,50.0,50.0,50,Black,70,105,105,50,40,20,390,0,1,1,0,0,0,2,120,Medium Slow,1059860,Mineral,NULL,15
526,Gigalith,NULL,NULL,1.7,260.0,Rock,NULL,50.0,50.0,50,Black,85,135,130,60,80,25,515,0,3,0,0,0,0,3,45,Medium Slow,1059860,Mineral,NULL,15
527,Woobat,NULL,NULL,0.4,2.1,Psychic,Flying,50.0,50.0,50,Black,65,45,43,55,43,72,323,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,Flying,15
528,Swoobat,NULL,NULL,0.9,10.5,Psychic,Flying,50.0,50.0,50,Black,67,57,55,77,55,114,425,0,0,0,0,0,2,2,45,Medium Fast,1000000,Field,Flying,15
529,Drilbur,NULL,NULL,0.3,8.5,Ground,NULL,50.0,50.0,50,Black,60,85,40,30,45,68,328,0,1,0,0,0,0,1,120,Medium Fast,1000000,Field,NULL,20
530,Excadrill,NULL,NULL,0.7,40.4,Ground,Steel,50.0,50.0,50,Black,110,135,60,50,65,88,508,0,2,0,0,0,0,2,60,Medium Fast,1000000,Field,NULL,20
531,Audino,NULL,NULL,1.1,31.0,Normal,NULL,50.0,50.0,50,Black,103,60,86,60,86,50,445,2,0,0,0,0,0,2,255,Fast,800000,Fairy,NULL,20
531,Audino,Mega,NULL,1.5,32.0,Normal,Fairy,50.0,50.0,70,Omega Ruby,103,60,126,80,126,50,545,2,0,0,0,0,0,2,255,Fast,800000,Fairy,NULL,20
532,Timburr,NULL,NULL,0.6,12.5,Fighting,NULL,75.0,25.0,70,Black,75,80,55,25,35,35,305,0,1,0,0,0,0,1,180,Medium Slow,1059860,Human-Like,NULL,20
533,Gurdurr,NULL,NULL,1.2,40.0,Fighting,NULL,75.0,25.0,50,Black,85,105,85,40,50,40,405,0,2,0,0,0,0,2,90,Medium Slow,1059860,Human-Like,NULL,20
534,Conkeldurr,NULL,NULL,1.4,87.0,Fighting,NULL,75.0,25.0,50,Black,105,140,95,55,65,45,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,Human-Like,NULL,20
535,Tympole,NULL,NULL,0.5,4.5,Water,NULL,50.0,50.0,50,Black,50,50,40,50,40,64,294,0,0,0,0,0,1,1,255,Medium Slow,1059860,Water 1,NULL,20
536,Palpitoad,NULL,NULL,0.8,17.0,Water,Ground,50.0,50.0,50,Black,75,65,55,65,55,69,384,2,0,0,0,0,0,2,120,Medium Slow,1059860,Water 1,NULL,20
537,Seismitoad,NULL,NULL,1.5,62.0,Water,Ground,50.0,50.0,50,Black,105,95,75,85,75,74,509,3,0,0,0,0,0,3,45,Medium Slow,1059860,Water 1,NULL,20
538,Throh,NULL,NULL,1.3,55.5,Fighting,NULL,100.0,0.0,50,Black,120,100,85,30,85,45,465,2,0,0,0,0,0,2,45,Medium Fast,1000000,Human-Like,NULL,20
539,Sawk,NULL,NULL,1.4,41.0,Fighting,NULL,100.0,0.0,50,Black,75,125,75,30,75,85,465,0,2,0,0,0,0,2,45,Medium Fast,1000000,Human-Like,NULL,20
540,Sewaddle,NULL,NULL,0.3,2.5,Bug,Grass,50.0,50.0,70,Black,45,53,70,40,60,42,310,0,0,1,0,0,0,1,255,Medium Slow,1059860,Bug,NULL,15
541,Swadloon,NULL,NULL,0.5,7.3,Bug,Grass,50.0,50.0,70,Black,55,63,90,50,80,42,380,0,0,2,0,0,0,2,120,Medium Slow,1059860,Bug,NULL,15
542,Leavanny,NULL,NULL,1.2,20.5,Bug,Grass,50.0,50.0,70,Black,75,103,80,70,80,92,500,0,3,0,0,0,0,3,45,Medium Slow,1059860,Bug,NULL,15
543,Venipede,NULL,NULL,0.4,5.3,Bug,Poison,50.0,50.0,50,Black,30,45,59,30,39,57,260,0,0,1,0,0,0,1,255,Medium Slow,1059860,Bug,NULL,15
544,Whirlipede,NULL,NULL,1.2,58.5,Bug,Poison,50.0,50.0,50,Black,40,55,99,40,79,47,360,0,0,2,0,0,0,2,120,Medium Slow,1059860,Bug,NULL,15
545,Scolipede,NULL,NULL,2.5,200.5,Bug,Poison,50.0,50.0,50,Black,60,100,89,55,69,112,485,0,0,0,0,0,3,3,45,Medium Slow,1059860,Bug,NULL,20
546,Cottonee,NULL,NULL,0.3,0.6,Grass,Fairy,50.0,50.0,50,Black,40,27,60,37,50,66,280,0,0,0,0,0,1,1,190,Medium Fast,1000000,Grass,Fairy,20
547,Whimsicott,NULL,NULL,0.7,6.6,Grass,Fairy,50.0,50.0,50,Black,60,67,85,77,75,116,480,0,0,0,0,0,2,2,75,Medium Fast,1000000,Grass,Fairy,20
548,Petilil,NULL,NULL,0.5,6.6,Grass,NULL,0.0,100.0,50,Black,45,35,50,70,50,30,280,0,0,0,1,0,0,1,190,Medium Fast,1000000,Grass,NULL,20
549,Lilligant,NULL,NULL,1.1,16.3,Grass,NULL,0.0,100.0,50,Black,70,60,75,110,75,90,480,0,0,0,2,0,0,2,75,Medium Fast,1000000,Grass,NULL,20
549,Lilligant,Hisui,NULL,1.2,19.2,Grass,Fighting,0.0,100.0,50,Legends Arceus,70,105,75,50,75,105,480,0,1,0,0,0,1,2,135,Medium Fast,1000000,Grass,NULL,20
549,Lilligant,Hisui,NULL,1.2,19.2,Grass,Fighting,0.0,100.0,50,Legends Arceus,70,105,75,50,75,105,480,0,1,0,0,0,1,2,135,Medium Fast,1000000,Grass,NULL,20
550,Basculin,NULL,NULL,1.0,18.0,Water,NULL,50.0,50.0,50,Black,70,92,65,80,55,98,460,0,0,0,0,0,2,2,25,Medium Fast,1000000,Water 2,NULL,40
550,Basculin,White-Striped,NULL,1.0,18.0,Water,NULL,50.0,50.0,50,Legends Arceus,70,92,65,80,55,98,460,0,0,0,0,0,1,1,235,Medium Fast,1000000,Water 2,NULL,40
550,Basculin,Blue-Striped,NULL,1.0,18.0,Water,NULL,50.0,50.0,50,Black,70,92,65,80,55,98,460,0,0,0,0,0,2,2,25,Medium Fast,1000000,Water 2,NULL,40
551,Sandile,NULL,NULL,0.7,15.2,Ground,Dark,50.0,50.0,50,Black,50,72,35,35,35,65,292,0,1,0,0,0,0,1,180,Medium Slow,1059860,Field,NULL,20
552,Krokorok,NULL,NULL,1.0,33.4,Ground,Dark,50.0,50.0,50,Black,60,82,45,45,45,74,351,0,2,0,0,0,0,2,90,Medium Slow,1059860,Field,NULL,20
553,Krookodile,NULL,NULL,1.5,96.3,Ground,Dark,50.0,50.0,50,Black,95,117,80,65,70,92,519,0,3,0,0,0,0,3,45,Medium Slow,1059860,Field,NULL,20
554,Darumaka,NULL,NULL,0.6,37.5,Fire,NULL,50.0,50.0,50,Black,70,90,45,15,45,50,315,0,1,0,0,0,0,1,120,Medium Slow,1059860,Field,NULL,20
554,Darumaka,Galar,NULL,0.7,40.0,Ice,NULL,50.0,50.0,50,Sword,70,90,45,15,45,50,315,0,1,0,0,0,0,1,120,Medium Slow,1059860,Field,NULL,20
555,Darmanitan,NULL,NULL,1.3,92.9,Fire,NULL,50.0,50.0,50,Black,105,140,55,30,55,95,480,0,2,0,0,0,0,2,60,Medium Slow,1059860,Field,NULL,20
555,Darmanitan,Zen,NULL,1.3,92.9,Fire,Psychic,50.0,50.0,50,Black,105,30,105,140,105,55,540,0,0,0,2,0,0,2,60,Medium Slow,1059860,Field,NULL,20
555,Darmanitan,Galar,NULL,1.7,120.0,Ice,NULL,50.0,50.0,50,Sword,105,140,55,30,55,95,480,0,2,0,0,0,0,2,60,Medium Slow,1059860,Field,NULL,20
555,Darmanitan,Galar Zen,NULL,1.7,120.0,Ice,Fire,50.0,50.0,50,Sword,105,160,55,30,55,135,540,0,0,0,2,0,0,2,60,Medium Slow,1059860,Field,NULL,20
556,Maractus,NULL,NULL,1.0,28.0,Grass,NULL,50.0,50.0,50,Black,75,86,67,106,67,60,461,0,0,0,2,0,0,2,255,Medium Fast,1000000,Grass,NULL,20
557,Dwebble,NULL,NULL,0.3,14.5,Bug,Rock,50.0,50.0,50,Black,50,65,85,35,35,55,325,0,0,1,0,0,0,1,190,Medium Fast,1000000,Bug,Mineral,20
558,Crustle,NULL,NULL,1.4,200.0,Bug,Rock,50.0,50.0,50,Black,70,105,125,65,75,45,485,0,0,2,0,0,0,2,75,Medium Fast,1000000,Bug,Mineral,20
559,Scraggy,NULL,NULL,0.6,11.8,Dark,Fighting,50.0,50.0,35,Black,50,75,70,35,70,48,348,0,1,0,0,0,0,1,180,Medium Fast,1000000,Field,Dragon,15
560,Scrafty,NULL,NULL,1.1,30.0,Dark,Fighting,50.0,50.0,50,Black,65,90,115,45,115,58,488,0,0,1,0,1,0,2,90,Medium Fast,1000000,Field,Dragon,15
561,Sigilyph,NULL,NULL,1.4,14.0,Psychic,Flying,50.0,50.0,50,Black,72,58,80,103,80,97,490,0,0,0,2,0,0,2,45,Medium Fast,1000000,Flying,NULL,20
562,Yamask,NULL,NULL,0.5,1.5,Ghost,NULL,50.0,50.0,50,Black,38,30,85,55,65,30,303,0,0,1,0,0,0,1,190,Medium Fast,1000000,Mineral,Amorphous,25
562,Yamask,Galar,NULL,0.5,1.5,Ground,Ghost,50.0,50.0,50,Sword,38,55,85,30,65,30,303,0,0,1,0,0,0,1,190,Medium Fast,1000000,Mineral,Amorphous,25
563,Cofagrigus,NULL,NULL,1.7,76.5,Ghost,NULL,50.0,50.0,50,Black,58,50,145,95,105,30,483,0,0,2,0,0,0,2,90,Medium Fast,1000000,Mineral,Amorphous,25
564,Tirtouga,NULL,NULL,0.7,16.5,Water,Rock,87.5,12.5,50,Black,54,78,103,53,45,22,355,0,0,1,0,0,0,1,45,Medium Fast,1000000,Water 1,Water 3,30
565,Carracosta,NULL,NULL,1.2,81.0,Water,Rock,87.5,12.5,50,Black,74,108,133,83,65,32,495,0,0,2,0,0,0,2,45,Medium Fast,1000000,Water 1,Water 3,30
566,Archen,NULL,NULL,0.5,9.5,Rock,Flying,87.5,12.5,50,Black,55,112,45,74,45,70,401,0,1,0,0,0,0,1,45,Medium Fast,1000000,Flying,Water 3,30
567,Archeops,NULL,NULL,1.4,32.0,Rock,Flying,87.5,12.5,50,Black,75,140,65,112,65,110,567,0,2,0,0,0,0,2,45,Medium Fast,1000000,Flying,Water 3,30
568,Trubbish,NULL,NULL,0.6,31.0,Poison,NULL,50.0,50.0,50,Black,50,50,62,40,62,65,329,0,0,0,0,0,1,1,190,Medium Fast,1000000,Mineral,NULL,20
569,Garbodor,NULL,NULL,1.9,107.3,Poison,NULL,50.0,50.0,50,Black,80,95,82,60,82,75,474,0,2,0,0,0,0,2,60,Medium Fast,1000000,Mineral,NULL,20
570,Zorua,NULL,NULL,0.7,12.5,Dark,NULL,87.5,12.5,50,Black,40,65,40,80,40,65,330,0,0,0,1,0,0,1,75,Medium Slow,1059860,Field,NULL,25
570,Zorua,Hisui,NULL,0.7,12.5,Normal,Ghost,87.5,12.5,50,Legends Arceus,35,60,40,85,40,70,330,0,0,0,1,0,0,1,215,Medium Slow,1059860,Field,NULL,25
571,Zoroark,NULL,NULL,1.6,81.1,Dark,NULL,87.5,12.5,50,Black,60,105,60,120,60,105,510,0,0,0,2,0,0,2,45,Medium Slow,1059860,Field,NULL,20
571,Zoroark,Hisui,NULL,1.6,73.0,Normal,Ghost,87.5,12.5,50,Legends Arceus,60,105,60,120,60,105,510,0,0,0,2,0,0,2,115,Medium Slow,1059860,Field,NULL,20
572,Minccino,NULL,NULL,0.4,5.8,Normal,NULL,25.0,75.0,50,Black,55,50,40,40,40,75,300,0,0,0,0,0,1,1,255,Fast,800000,Field,NULL,15
573,Cinccino,NULL,NULL,0.5,7.5,Normal,NULL,25.0,75.0,50,Black,75,95,60,65,60,115,470,0,0,0,0,0,2,2,60,Fast,800000,Field,NULL,15
574,Gothita,NULL,NULL,0.4,5.8,Psychic,NULL,25.0,75.0,50,Black,45,30,50,55,65,45,290,0,0,0,0,1,0,1,200,Medium Slow,1059860,Human-Like,NULL,20
575,Gothorita,NULL,NULL,0.7,18.0,Psychic,NULL,25.0,75.0,50,Black,60,45,70,75,85,55,390,0,0,0,0,2,0,2,100,Medium Slow,1059860,Human-Like,NULL,20
576,Gothitelle,NULL,NULL,1.5,44.0,Psychic,NULL,25.0,75.0,50,Black,70,55,95,95,110,65,490,0,0,0,0,3,0,3,50,Medium Slow,1059860,Human-Like,NULL,20
577,Solosis,NULL,NULL,0.3,1.0,Psychic,NULL,50.0,50.0,50,Black,45,30,40,105,50,20,290,0,0,0,1,0,0,1,200,Medium Slow,1059860,Amorphous,NULL,20
578,Duosion,NULL,NULL,0.6,8.0,Psychic,NULL,50.0,50.0,50,Black,65,40,50,125,60,30,370,0,0,0,2,0,0,2,100,Medium Slow,1059860,Amorphous,NULL,20
579,Reuniclus,NULL,NULL,1.0,20.1,Psychic,NULL,50.0,50.0,50,Black,110,65,75,125,85,30,490,0,0,0,3,0,0,3,50,Medium Slow,1059860,Amorphous,NULL,20
580,Ducklett,NULL,NULL,0.5,5.5,Water,Flying,50.0,50.0,70,Black,62,44,50,44,50,55,305,1,0,0,0,0,0,1,190,Medium Fast,1000000,Water 1,Flying,20
581,Swanna,NULL,NULL,1.3,24.2,Water,Flying,50.0,50.0,70,Black,75,87,63,87,63,98,473,0,0,0,0,0,2,2,45,Medium Fast,1000000,Water 1,Flying,20
582,Vanillite,NULL,NULL,0.4,5.7,Ice,NULL,50.0,50.0,50,Black,36,50,50,65,60,44,305,0,0,0,1,0,0,1,255,Slow,1250000,Mineral,NULL,20
583,Vanillish,NULL,NULL,1.1,41.0,Ice,NULL,50.0,50.0,50,Black,51,65,65,80,75,59,395,0,0,0,2,0,0,2,120,Slow,1250000,Mineral,NULL,20
584,Vanilluxe,NULL,NULL,1.3,57.5,Ice,NULL,50.0,50.0,50,Black,71,95,85,110,95,79,535,0,0,0,3,0,0,3,45,Slow,1250000,Mineral,NULL,20
585,Deerling,NULL,NULL,0.6,19.5,Normal,Grass,50.0,50.0,50,Black,60,60,50,40,50,75,335,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,NULL,20
585,Deerling,Summer,NULL,0.6,19.5,Normal,Grass,50.0,50.0,50,Black,60,60,50,40,50,75,335,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,NULL,20
585,Deerling,Autumn,NULL,0.6,19.5,Normal,Grass,50.0,50.0,50,Black,60,60,50,40,50,75,335,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,NULL,20
585,Deerling,Winter,NULL,0.6,19.5,Normal,Grass,50.0,50.0,50,Black,60,60,50,40,50,75,335,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,NULL,20
586,Sawsbuck,NULL,NULL,1.9,92.5,Normal,Grass,50.0,50.0,50,Black,80,100,70,60,70,95,475,0,2,0,0,0,0,2,75,Medium Fast,1000000,Field,NULL,20
586,Sawsbuck,Summer,NULL,1.9,92.5,Normal,Grass,50.0,50.0,50,Black,80,100,70,60,70,95,475,0,2,0,0,0,0,2,75,Medium Fast,1000000,Field,NULL,20
586,Sawsbuck,Autumn,NULL,1.9,92.5,Normal,Grass,50.0,50.0,50,Black,80,100,70,60,70,95,475,0,2,0,0,0,0,2,75,Medium Fast,1000000,Field,NULL,20
586,Sawsbuck,Winter,NULL,1.9,92.5,Normal,Grass,50.0,50.0,50,Black,80,100,70,60,70,95,475,0,2,0,0,0,0,2,75,Medium Fast,1000000,Field,NULL,20
587,Emolga,NULL,NULL,0.4,5.0,Electric,Flying,50.0,50.0,50,Black,55,75,60,75,60,103,428,0,0,0,0,0,2,2,200,Medium Fast,1000000,Field,NULL,20
588,Karrablast,NULL,NULL,0.5,5.9,Bug,NULL,50.0,50.0,50,Black,50,75,45,40,45,60,315,0,1,0,0,0,0,1,200,Medium Fast,1000000,Bug,NULL,15
589,Escavalier,NULL,NULL,1.0,33.0,Bug,Steel,50.0,50.0,50,Black,70,135,105,60,105,20,495,0,2,0,0,0,0,2,75,Medium Fast,1000000,Bug,NULL,15
590,Foongus,NULL,NULL,0.2,1.0,Grass,Poison,50.0,50.0,50,Black,69,55,45,55,55,15,294,1,0,0,0,0,0,1,190,Medium Fast,1000000,Grass,NULL,20
591,Amoonguss,NULL,NULL,0.6,10.5,Grass,Poison,50.0,50.0,50,Black,114,85,70,85,80,30,464,2,0,0,0,0,0,2,75,Medium Fast,1000000,Grass,NULL,20
592,Frillish,NULL,NULL,1.2,33.0,Water,Ghost,50.0,50.0,50,Black,55,40,50,65,85,40,335,0,0,0,0,1,0,1,190,Medium Fast,1000000,Amorphous,NULL,20
593,Jellicent,NULL,NULL,2.2,135.0,Water,Ghost,50.0,50.0,50,Black,100,60,70,85,105,60,480,0,0,0,0,2,0,2,60,Medium Fast,1000000,Amorphous,NULL,20
594,Alomomola,NULL,NULL,1.2,31.6,Water,NULL,50.0,50.0,50,Black,165,75,80,40,45,65,470,2,0,0,0,0,0,2,75,Fast,800000,Water 1,Water 2,40
595,Joltik,NULL,NULL,0.1,0.6,Bug,Electric,50.0,50.0,50,Black,50,47,50,57,50,65,319,0,0,0,0,0,1,1,190,Medium Fast,1000000,Bug,NULL,20
596,Galvantula,NULL,NULL,0.8,14.3,Bug,Electric,50.0,50.0,50,Black,70,77,60,97,60,108,472,0,0,0,0,0,2,2,75,Medium Fast,1000000,Bug,NULL,20
597,Ferroseed,NULL,NULL,0.6,18.8,Grass,Steel,50.0,50.0,50,Black,44,50,91,24,86,10,305,0,0,1,0,0,0,1,255,Medium Fast,1000000,Grass,Mineral,20
598,Ferrothorn,NULL,NULL,1.0,110.0,Grass,Steel,50.0,50.0,50,Black,74,94,131,54,116,20,489,0,0,2,0,0,0,2,90,Medium Fast,1000000,Grass,Mineral,20
599,Klink,NULL,NULL,0.3,21.0,Steel,NULL,0.0,0.0,50,Black,40,55,70,45,60,30,300,0,0,1,0,0,0,1,130,Medium Slow,1059860,Mineral,NULL,20
600,Klang,NULL,NULL,0.6,51.0,Steel,NULL,0.0,0.0,50,Black,60,80,95,70,85,50,440,0,0,2,0,0,0,2,60,Medium Slow,1059860,Mineral,NULL,20
601,Klinklang,NULL,NULL,0.6,81.0,Steel,NULL,0.0,0.0,50,Black,60,100,115,70,85,90,520,0,0,3,0,0,0,3,30,Medium Slow,1059860,Mineral,NULL,20
602,Tynamo,NULL,NULL,0.2,0.3,Electric,NULL,50.0,50.0,50,Black,35,55,40,45,40,60,275,0,0,0,0,0,1,1,190,Slow,1250000,Amorphous,NULL,20
603,Eelektrik,NULL,NULL,1.2,22.0,Electric,NULL,50.0,50.0,50,Black,65,85,70,75,70,40,405,0,2,0,0,0,0,2,60,Slow,1250000,Amorphous,NULL,20
604,Eelektross,NULL,NULL,2.1,80.5,Electric,NULL,50.0,50.0,50,Black,85,115,80,105,80,50,515,0,3,0,0,0,0,3,30,Slow,1250000,Amorphous,NULL,20
605,Elgyem,NULL,NULL,0.5,9.0,Psychic,NULL,50.0,50.0,50,Black,55,55,55,85,55,30,335,0,0,0,1,0,0,1,255,Medium Fast,1000000,Human-Like,NULL,20
606,Beheeyem,NULL,NULL,1.0,34.5,Psychic,NULL,50.0,50.0,50,Black,75,75,75,125,95,40,485,0,0,0,2,0,0,2,90,Medium Fast,1000000,Human-Like,NULL,20
607,Litwick,NULL,NULL,0.3,3.1,Ghost,Fire,50.0,50.0,50,Black,50,30,55,65,55,20,275,0,0,0,1,0,0,1,190,Medium Slow,1059860,Amorphous,NULL,20
608,Lampent,NULL,NULL,0.6,13.0,Ghost,Fire,50.0,50.0,50,Black,60,40,60,95,60,55,370,0,0,0,2,0,0,2,90,Medium Slow,1059860,Amorphous,NULL,20
609,Chandelure,NULL,NULL,1.0,34.3,Ghost,Fire,50.0,50.0,50,Black,60,55,90,145,90,80,520,0,0,0,3,0,0,3,45,Medium Slow,1059860,Amorphous,NULL,20
610,Axew,NULL,NULL,0.6,18.0,Dragon,NULL,50.0,50.0,35,Black,46,87,60,30,40,57,320,0,1,0,0,0,0,1,75,Slow,1250000,Monster,Dragon,40
611,Fraxure,NULL,NULL,1.0,36.0,Dragon,NULL,50.0,50.0,35,Black,66,117,70,40,50,67,410,0,2,0,0,0,0,2,60,Slow,1250000,Monster,Dragon,40
612,Haxorus,NULL,NULL,1.8,105.5,Dragon,NULL,50.0,50.0,35,Black,76,147,90,60,70,97,540,0,3,0,0,0,0,3,45,Slow,1250000,Monster,Dragon,40
613,Cubchoo,NULL,NULL,0.5,8.5,Ice,NULL,50.0,50.0,50,Black,55,70,40,60,40,40,305,0,1,0,0,0,0,1,120,Medium Fast,1000000,Field,NULL,20
614,Beartic,NULL,NULL,2.6,260.0,Ice,NULL,50.0,50.0,50,Black,95,130,80,70,80,50,505,0,2,0,0,0,0,2,60,Medium Fast,1000000,Field,NULL,20
615,Cryogonal,NULL,NULL,1.1,148.0,Ice,NULL,0.0,0.0,50,Black,80,50,50,95,135,105,515,0,0,0,0,2,0,2,25,Medium Fast,1000000,Mineral,NULL,25
616,Shelmet,NULL,NULL,0.4,7.7,Bug,NULL,50.0,50.0,50,Black,50,40,85,40,65,25,305,0,0,1,0,0,0,1,200,Medium Fast,1000000,Bug,NULL,15
617,Accelgor,NULL,NULL,0.8,25.3,Bug,NULL,50.0,50.0,50,Black,80,70,40,100,60,145,495,0,0,0,0,0,2,2,75,Medium Fast,1000000,Bug,NULL,15
618,Stunfisk,NULL,NULL,0.7,11.0,Ground,Electric,50.0,50.0,70,Black,109,66,84,81,99,32,471,2,0,0,0,0,0,2,75,Medium Fast,1000000,Water 1,Amorphous,20
618,Stunfisk,Galar,NULL,0.7,20.5,Ground,Steel,50.0,50.0,50,Sword,109,81,99,66,84,32,471,2,0,0,0,0,0,2,75,Medium Fast,1000000,Water 1,Amorphous,20
619,Mienfoo,NULL,NULL,0.9,20.0,Fighting,NULL,50.0,50.0,50,Black,45,85,50,55,50,65,350,0,1,0,0,0,0,1,180,Medium Slow,1059860,Field,Human-Like,25
620,Mienshao,NULL,NULL,1.4,35.5,Fighting,NULL,50.0,50.0,50,Black,65,125,60,95,60,105,510,0,2,0,0,0,0,2,45,Medium Slow,1059860,Field,Human-Like,25
621,Druddigon,NULL,NULL,1.6,139.0,Dragon,NULL,50.0,50.0,50,Black,77,120,90,60,90,48,485,0,2,0,0,0,0,2,45,Medium Fast,1000000,Dragon,Monster,30
622,Golett,NULL,NULL,1.0,92.0,Ground,Ghost,0.0,0.0,50,Black,59,74,50,35,50,35,303,0,1,0,0,0,0,1,190,Medium Fast,1000000,Mineral,NULL,25
623,Golurk,NULL,NULL,2.8,330.0,Ground,Ghost,0.0,0.0,50,Black,89,124,80,55,80,55,483,0,2,0,0,0,0,2,90,Medium Fast,1000000,Mineral,NULL,25
624,Pawniard,NULL,NULL,0.5,10.2,Dark,Steel,50.0,50.0,35,Black,45,85,70,40,40,60,340,0,1,0,0,0,0,1,120,Medium Fast,1000000,Human-Like,NULL,20
625,Bisharp,NULL,NULL,1.6,70.0,Dark,Steel,50.0,50.0,35,Black,65,125,100,60,70,70,490,0,2,0,0,0,0,2,45,Medium Fast,1000000,Human-Like,NULL,20
626,Bouffalant,NULL,NULL,1.6,94.5,Normal,NULL,50.0,50.0,50,Black,95,110,95,40,95,55,490,0,2,0,0,0,0,2,45,Medium Fast,1000000,Field,NULL,20
627,Rufflet,NULL,NULL,0.5,10.5,Normal,Flying,100.0,0.0,50,Black,70,83,50,37,50,60,350,0,1,0,0,0,0,1,190,Slow,1250000,Flying,NULL,20
628,Braviary,NULL,NULL,1.5,41.0,Normal,Flying,100.0,0.0,50,Black,100,123,75,57,75,80,510,0,2,0,0,0,0,2,60,Slow,1250000,Flying,NULL,20
628,Braviary,Hisui,NULL,1.7,43.4,Psychic,Flying,100.0,0.0,50,Legends Arceus,110,83,70,112,70,65,510,0,0,0,2,0,0,2,135,Slow,1250000,Flying,NULL,20
628,Braviary,Hisui,NULL,1.7,43.4,Psychic,Flying,100.0,0.0,50,Legends Arceus,110,83,70,112,70,65,510,0,0,0,2,0,0,2,135,Slow,1250000,Flying,NULL,20
629,Vullaby,NULL,NULL,0.5,9.0,Dark,Flying,0.0,100.0,35,Black,70,55,75,45,65,60,370,0,0,1,0,0,0,1,190,Slow,1250000,Flying,NULL,20
630,Mandibuzz,NULL,NULL,1.2,39.5,Dark,Flying,0.0,100.0,35,Black,110,65,105,55,95,80,510,0,0,0,2,0,0,2,60,Slow,1250000,Flying,NULL,20
631,Heatmor,NULL,NULL,1.4,58.0,Fire,NULL,50.0,50.0,50,Black,85,97,66,105,66,65,484,0,0,0,2,0,0,2,90,Medium Fast,1000000,Field,NULL,20
632,Durant,NULL,NULL,0.3,33.0,Bug,Steel,50.0,50.0,50,Black,58,109,112,48,48,109,484,0,0,2,0,0,0,2,90,Medium Fast,1000000,Bug,NULL,20
633,Deino,NULL,NULL,0.8,17.3,Dark,Dragon,50.0,50.0,35,Black,52,65,50,45,50,38,300,0,1,0,0,0,0,1,45,Slow,1250000,Dragon,NULL,40
634,Zweilous,NULL,NULL,1.4,50.0,Dark,Dragon,50.0,50.0,35,Black,72,85,70,65,70,58,420,0,2,0,0,0,0,2,45,Slow,1250000,Dragon,NULL,40
635,Hydreigon,NULL,NULL,1.8,160.0,Dark,Dragon,50.0,50.0,35,Black,92,105,90,125,90,98,600,0,0,0,3,0,0,3,45,Slow,1250000,Dragon,NULL,40
636,Larvesta,NULL,NULL,1.1,28.8,Bug,Fire,50.0,50.0,50,Black,55,85,55,50,55,60,360,0,1,0,0,0,0,1,45,Slow,1250000,Bug,NULL,40
637,Volcarona,NULL,NULL,1.6,46.0,Bug,Fire,50.0,50.0,50,Black,85,60,65,135,105,100,550,0,0,0,3,0,0,3,15,Slow,1250000,Bug,NULL,40
638,Cobalion,NULL,Sub-Legendary,2.1,250.0,Steel,Fighting,0.0,0.0,35,Black,91,90,129,90,72,108,580,0,0,3,0,0,0,3,3,Slow,1250000,No Eggs Discovered,NULL,80
639,Terrakion,NULL,Sub-Legendary,1.9,260.0,Rock,Fighting,0.0,0.0,35,Black,91,129,90,72,90,108,580,0,3,0,0,0,0,3,3,Slow,1250000,No Eggs Discovered,NULL,80
640,Virizion,NULL,Sub-Legendary,2.0,200.0,Grass,Fighting,0.0,0.0,35,Black,91,90,72,90,129,108,580,0,0,0,0,3,0,3,3,Slow,1250000,No Eggs Discovered,NULL,80
641,Tornadus,NULL,Sub-Legendary,1.5,63.0,Flying,NULL,100.0,0.0,90,Black,79,115,70,125,80,111,580,0,3,0,0,0,0,3,3,Slow,1250000,No Eggs Discovered,NULL,120
641,Tornadus,Therian,Sub-Legendary,1.5,63.0,Flying,NULL,100.0,0.0,90,Black 2,79,100,80,110,90,121,580,0,0,0,0,0,3,3,3,Slow,1250000,No Eggs Discovered,NULL,120
